LIFESTAGE,PREMIUM_CUSTOMER,0
MIDAGE SINGLES/COUPLES,Budget,1504
MIDAGE SINGLES/COUPLES,Mainstream,3340
MIDAGE SINGLES/COUPLES,Premium,2431
NEW FAMILIES,Budget,1112
NEW FAMILIES,Mainstream,849
NEW FAMILIES,Premium,588
OLDER FAMILIES,Budget,4675
OLDER FAMILIES,Mainstream,2831
OLDER FAMILIES,Premium,2274
OLDER SINGLES/COUPLES,Budget,4929
OLDER SINGLES/COUPLES,Mainstream,4930
OLDER SINGLES/COUPLES,Premium,4750
RETIREES,Budget,4454
RETIREES,Mainstream,6479
RETIREES,Premium,3872
YOUNG FAMILIES,Budget,4017
YOUNG FAMILIES,Mainstream,2728
YOUNG FAMILIES,Premium,2433
YOUNG SINGLES/COUPLES,Budget,3779
YOUNG SINGLES/COUPLES,Mainstream,8088
YOUNG SINGLES/COUPLES,Premium,2574
